n,Year_Month,citizen_ge,visitor_type_en,pa_ge,pa_en,visits
337,2014-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,265
338,2014-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,225
339,2014-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,155
340,2014-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,100
341,2015-02,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,65
342,2015-03,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,375
343,2015-04,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,510
344,2015-05,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,520
345,2015-06,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1730
346,2015-07,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1690
347,2015-08,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1260
348,2015-09,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,2295
349,2015-10,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3876
350,2015-11,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1260
351,2015-12,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,686
352,2015-01,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,50
353,2015-02,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,15
354,2015-03,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,25
355,2015-04,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,50
356,2015-05,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,80
357,2015-06,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,120
358,2015-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,210
359,2015-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,240
360,2015-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,120
361,2015-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,37
362,2015-11,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,6
363,2016-01,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1490
364,2016-02,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,910
365,2016-03,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,731
366,2016-04,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1349
367,2016-05,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,2939
368,2016-06,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1791
369,2016-07,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,4064
370,2016-08,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,2525
371,2016-09,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1380
372,2016-10,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1249
373,2016-11,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,764
374,2016-12,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,2077
375,2016-01,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,496
376,2016-02,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,580
377,2016-03,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1012
378,2016-04,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1114
379,2016-05,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1890
380,2016-06,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1970
381,2016-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1033
382,2016-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1980
383,2016-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,2300
384,2016-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,423
385,2016-11,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,502
386,2016-12,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,870
387,2017-01,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3347
388,2017-02,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3465
389,2017-03,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3323
390,2017-04,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1815
391,2017-05,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,2885
392,2017-06,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3370
393,2017-07,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6920
394,2017-08,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,9765
395,2017-09,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,4217
396,2017-10,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1305
397,2017-11,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1815
398,2017-12,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1800
399,2017-01,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,739
400,2017-02,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,970
401,2017-03,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,260
402,2017-04,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,230
403,2017-05,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,515
404,2017-06,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,679
405,2017-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1710
406,2017-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1952
407,2017-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,383
408,2017-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,145
409,2017-11,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,305
410,2017-12,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,100
411,2018-01,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6125
412,2018-02,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3085
413,2018-03,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,3320
414,2018-04,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,4130
415,2018-05,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,8400
416,2018-06,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,9520
417,2018-07,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,9550
418,2018-08,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,11370
419,2018-09,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,7040
420,2018-10,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6195
421,2018-11,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,5220
422,2018-12,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,7930
423,2018-01,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,4935
424,2018-02,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1465
425,2018-03,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,600
426,2018-04,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,160
427,2018-05,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,200
428,2018-06,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1080
429,2018-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,750
430,2018-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,4390
431,2018-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,840
432,2018-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,215
433,2018-11,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,440
434,2018-12,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,520
435,2019-01,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6635
436,2019-02,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,10299
437,2019-03,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,2870
438,2019-04,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,4910
439,2019-05,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6850
440,2019-06,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,9220
441,2019-07,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,8720
442,2019-08,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6480
443,2019-09,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,5800
444,2019-10,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,10990
445,2019-11,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,10740
446,2019-12,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,5590
447,2019-01,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1010
448,2019-02,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1970
449,2019-03,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,900
450,2019-04,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,580
451,2019-05,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1000
452,2019-06,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,890
453,2019-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1200
454,2019-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,850
455,2019-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,640
456,2019-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1560
457,2019-11,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1900
458,2019-12,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,500
459,2020-01,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,8490
460,2020-02,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,5070
461,2020-03,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1100
462,2020-06,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,7400
463,2020-07,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,9540
464,2020-08,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,6570
465,2020-09,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,5775
466,2020-10,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,5710
467,2020-11,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,8700
468,2020-12,ქართველი,Domestic,თბილისის ეროვნული პარკი,Tbilisi National Park,1600
469,2020-01,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,1120
470,2020-02,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,500
471,2020-06,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,50
472,2020-07,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,100
473,2020-08,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,30
474,2020-09,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,25
475,2020-10,უცხოელი,International,თბილისის ეროვნული პარკი,Tbilisi National Park,110
476,2014-01,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,139
477,2014-02,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,174
478,2014-03,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,295
479,2014-04,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1041
480,2014-05,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1887
481,2014-06,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,957
482,2014-07,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,478
483,2014-08,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,398
484,2014-09,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,451
485,2014-10,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,222
486,2014-11,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,161
487,2014-12,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,324
488,2014-01,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,37
489,2014-02,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,75
490,2014-03,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,105
491,2014-04,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,244
492,2014-05,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,591
493,2014-06,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,254
494,2014-07,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,190
495,2014-08,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,285
496,2014-09,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,254
497,2014-10,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,137
498,2014-11,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,10
499,2014-12,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,2
500,2015-01,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,175
501,2015-02,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,197
502,2015-03,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,614
503,2015-04,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1265
504,2015-05,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,2096
505,2015-06,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1252
506,2015-07,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,611
507,2015-08,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,626
508,2015-09,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,658
509,2015-10,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,624
510,2015-11,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,455
511,2015-12,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,444
512,2015-01,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,46
513,2015-02,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,10
514,2015-03,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,59
515,2015-04,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,69
516,2015-05,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,392
517,2015-06,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,114
518,2015-07,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,156
519,2015-08,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,452
520,2015-09,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,172
521,2015-10,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,303
522,2015-11,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,136
523,2015-12,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,50
524,2016-01,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,279
525,2016-02,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,258
526,2016-03,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,674
527,2016-04,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1225
528,2016-05,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1925
529,2016-06,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,927
530,2016-07,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,551
531,2016-08,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,592
532,2016-09,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,629
533,2016-10,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,784
534,2016-11,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,486
535,2016-12,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,296
536,2016-01,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,83
537,2016-02,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,6
538,2016-03,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,100
539,2016-04,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,279
540,2016-05,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,665
541,2016-06,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,526
542,2016-07,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,306
543,2016-08,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,519
544,2016-09,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,309
545,2016-10,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,233
546,2016-11,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,129
547,2016-12,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,25
548,2017-01,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,338
549,2017-02,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,225
550,2017-03,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,706
551,2017-04,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1348
552,2017-05,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1546
553,2017-06,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1367
554,2017-07,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,604
555,2017-08,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,741
556,2017-09,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,594
557,2017-10,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,728
558,2017-11,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,500
559,2017-12,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,298
560,2017-01,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,31
561,2017-02,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,17
562,2017-03,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,89
563,2017-04,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,395
564,2017-05,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,540
565,2017-06,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,426
566,2017-07,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,297
567,2017-08,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,426
568,2017-09,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,474
569,2017-10,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,356
570,2017-11,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,141
571,2017-12,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,63
572,2018-01,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,262
573,2018-02,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,449
574,2018-03,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,518
575,2018-04,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1160
576,2018-05,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1597
577,2018-06,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1181
578,2018-07,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,676
579,2018-08,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,928
580,2018-09,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,850
581,2018-10,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,936
582,2018-11,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,270
583,2018-12,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,26
584,2018-01,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,41
585,2018-02,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,39
586,2018-03,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,99
587,2018-04,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,374
588,2018-05,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,732
589,2018-06,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,434
590,2018-07,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,256
591,2018-08,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,473
592,2018-09,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,685
593,2018-10,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,348
594,2018-11,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,63
595,2018-12,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,7
596,2019-01,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,134
597,2019-02,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,216
598,2019-03,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,504
599,2019-04,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,908
600,2019-05,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,993
601,2019-06,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,782
602,2019-07,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,276
603,2019-08,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,122
604,2019-09,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,269
605,2019-10,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,1077
606,2019-11,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,548
607,2019-12,ქართველი,Domestic,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,124
608,2019-01,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,16
609,2019-02,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,37
610,2019-03,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,70
611,2019-04,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,320
612,2019-05,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,662
613,2019-06,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,432
614,2019-07,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,839
615,2019-08,უცხოელი,International,ვაშლოვანის დაცული ტერიტორიები,Vashlovani Protected Areas,681
